A1,eta1,A2,eta2,shear: Delta chi2,ggl: Delta chi2
0.6,-2.2,-1.25,-2.8,6.337758,4.424947
0.6,-1.2,-1.25,-2.8,50.077357,15.000695
0.6,-1.7,-1.25,-2.8,19.632292,7.472113
0.6,-2.2,-1.47,-2.8,312.755706,9.370762
0.6,-1.2,-1.47,-2.8,497.348943,27.155414
0.6,-1.7,-1.47,-2.8,399.292378,16.240935
0.6,-2.2,-1.36,-2.8,69.644359,6.353831
0.6,-1.2,-1.36,-2.8,179.140227,20.534443
0.6,-1.7,-1.36,-2.8,117.120106,11.312659
0.6,-2.2,-1.25,-2.2,181.496621,4.650891
0.6,-1.2,-1.25,-2.2,130.510855,9.582404
0.6,-1.7,-1.25,-2.2,145.456149,4.720037
0.6,-2.2,-1.47,-2.2,12.89311,6.57272
0.6,-1.2,-1.47,-2.2,55.982089,17.720616
0.6,-1.7,-1.47,-2.2,25.672085,9.940738
0.6,-2.2,-1.36,-2.2,50.700522,5.182575
0.6,-1.2,-1.36,-2.2,43.955182,13.222288
0.6,-1.7,-1.36,-2.2,37.616207,6.90124
0.6,-2.2,-1.25,-2.5,59.860937,4.276492
0.6,-1.2,-1.25,-2.5,51.963487,11.932186
0.6,-2.2,-1.47,-2.5,79.311666,7.554941
0.6,-1.7,-1.25,-2.5,46.257192,5.782416
0.6,-1.2,-1.47,-2.5,186.212531,21.90653
0.6,-1.7,-1.47,-2.5,125.337054,12.612815
0.6,-2.2,-1.36,-2.5,4.893932,5.433179
0.6,-1.2,-1.36,-2.5,50.771073,16.436629
0.6,-1.7,-1.36,-2.5,19.215675,8.919525
0.8,-2.2,-1.25,-2.8,83.730735,23.768191
0.8,-1.2,-1.25,-2.8,13.259193,7.310174
0.8,-1.7,-1.25,-2.8,28.921455,10.139001
0.8,-1.2,-1.47,-2.8,307.715187,6.200095
0.8,-2.2,-1.47,-2.8,213.343963,13.046395
0.8,-1.7,-1.47,-2.8,243.54868,4.514057
0.8,-1.2,-1.36,-2.8,71.042689,6.211431
0.8,-2.2,-1.36,-2.8,64.636862,17.862972
0.8,-1.7,-1.36,-2.8,49.464359,6.782602
0.8,-1.2,-1.25,-2.2,184.676823,9.028387
0.8,-2.2,-1.25,-2.2,366.473162,33.011768
0.8,-1.7,-1.25,-2.2,254.114349,15.411832
0.8,-1.2,-1.47,-2.2,6.222073,5.158219
0.8,-2.2,-1.47,-2.2,78.252635,20.853128
0.8,-1.7,-1.47,-2.2,22.410974,7.651987
0.8,-1.2,-1.36,-2.2,49.171154,6.663805
0.8,-2.2,-1.36,-2.2,179.299228,26.502766
0.8,-1.7,-1.36,-2.2,93.548408,11.102352
0.8,-1.2,-1.25,-2.5,64.947937,7.945781
0.8,-2.2,-1.25,-2.5,196.070302,28.297048
0.8,-1.7,-1.25,-2.5,109.910464,12.612968
0.8,-1.2,-1.47,-2.5,73.697464,5.307102
0.8,-2.2,-1.47,-2.5,70.753813,16.730676
0.8,-1.7,-1.47,-2.5,53.667082,5.782356
0.8,-1.2,-1.36,-2.5,4.954476,6.143926
0.8,-2.2,-1.36,-2.5,73.278322,22.03135
0.8,-1.7,-1.36,-2.5,19.469589,8.715062
0.7,-1.2,-1.25,-2.8,15.852488,3.244511
0.7,-2.2,-1.25,-2.8,21.205025,4.275607
0.7,-1.7,-1.25,-2.8,4.991343,0.090524
0.7,-1.2,-1.47,-2.8,384.513538,8.766728
0.7,-2.2,-1.47,-2.8,235.893026,1.387671
0.7,-1.7,-1.47,-2.8,299.414297,1.662353
0.7,-1.2,-1.36,-2.8,108.249469,5.461934
0.7,-2.2,-1.36,-2.8,41.765998,2.28756
0.7,-1.7,-1.36,-2.8,62.740666,0.332599
0.7,-1.2,-1.25,-2.2,143.228545,1.39438
0.7,-2.2,-1.25,-2.2,252.30688,9.010352
0.7,-1.7,-1.25,-2.2,182.277226,1.350849
0.7,-1.2,-1.47,-2.2,15.258363,3.528246
0.7,-2.2,-1.47,-2.2,21.699378,3.892123
0.7,-1.7,-1.47,-2.2,4.717914,0.081404
0.7,-1.2,-1.36,-2.2,31.517238,2.03203
0.7,-2.2,-1.36,-2.2,92.312673,6.021847
0.7,-1.7,-1.36,-2.2,47.23747,0.286714
0.7,-1.2,-1.25,-2.5,43.442899,2.027977
0.7,-2.2,-1.25,-2.5,105.32,6.465943
0.7,-1.7,-1.25,-2.5,59.776563,0.482588
0.7,-1.2,-1.47,-2.5,113.122459,5.695613
0.7,-2.2,-1.47,-2.5,49.675133,2.322021
0.7,-1.7,-1.47,-2.5,68.961847,0.48249
0.7,-1.2,-1.36,-2.5,12.002162,3.379288
0.7,-2.2,-1.36,-2.5,15.187765,3.911378
0.7,-1.7,-1.36,-2.5,0,0
